*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CHIPOTLE
*Date=12:33:07
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;47.0222;-8.57174;0;Bottom;Jumper27
105;;;61.8998;-45.7675;0;Bottom;Copper Fill27
106;;;40.4114;-32.1531;0;Bottom;Copper Fill37
107;;;40.0558;-76.1459;0;Bottom;Copper Fill3
108;;THT;46.2705;-8.68252;-90;Bottom;R9
109;;;13.2334;-46.6311;0;Bottom;Copper Fill21
110;;;33.8557;-56.1406;0;Bottom;TXT10
111;;;55.933;-18.3268;-90;Bottom;TXT8
112;;;89.5096;-45.7929;0;Bottom;Copper Fill24
113;;;3.45029;-61.4191;0;Bottom;Hole9
114;;;28.5643;-42.7548;0;Bottom;Jumper42
115;;TO220 [THT];47.1266;-50.3817;0;Bottom;IRFZ44N
116;;3 mm [THT];40.3579;-32.2272;0;Bottom;LED
117;;;19.9644;-31.9499;0;Bottom;Copper Fill52
118;;;75.5142;-45.7929;0;Bottom;Copper Fill23
119;;;80.5434;-76.0697;0;Bottom;Copper Fill6
120;;;73.8124;-16.7861;0;Bottom;Copper Fill49
121;;;96.3694;-42.9016;0;Bottom;Jumper40
122;;;84.4296;-33.3469;0;Bottom;Copper Fill38
123;;;91.9505;-2.93463;0;Bottom;TXT9
124;;;65.9638;-58.6199;0;Bottom;Copper Fill13
125;220;THT;16.8114;-42.761;90;Bottom;R21
126;;;88.1004;-56.0959;0;Bottom;TXT10
127;;;11.9394;-8.57174;0;Bottom;Jumper29
128;;;76.0958;-18.1408;-90;Bottom;TXT8
129;;THT;82.2705;-8.68252;-90;Bottom;R12
130;;;53.3609;-18.2881;-90;Bottom;TXT8
131;10k;THT;61.9132;-45.6207;0;Bottom;R25
132;;;28.8032;-58.3066;0;Bottom;TXT11
133;;;28.2721;-61.4976;0;Bottom;TXT11
134;;;81.106;-26.4576;0;Bottom;Hole13
135;;;24.7619;-42.5854;0;Bottom;TXT8
136;;;94.2086;-75.9935;0;Bottom;Copper Fill7
137;;;2.18807;-2.82598;0;Bottom;TXT9
138;;5 mm [THT];7.61704;-31.2133;0;Bottom;LED
139;;;21.7312;-67.7139;0;Bottom;Hole15
140;;;60.7719;-56.1429;0;Bottom;TXT10
141;;;25.3746;-45.3357;0;Bottom;Copper Fill28
142;;;93.1333;-17.3844;0;Bottom;TXT12
143;;;68.5303;-18.0509;-90;Bottom;TXT8
144;;300 mil [THT];87.4554;-66.3579;180;Bottom;D14
145;;;70.6882;-31.2895;0;Bottom;Copper Fill41
146;;rca_lock;87.5029;-73.5205;90;Bottom;JP1
147;;THT;56.71;-21.5637;90;Bottom;J15
148;220;THT;53.3209;-37.6438;60;Bottom;R33
149;;;52.4002;-58.6961;0;Bottom;Copper Fill15
150;;;30.0228;-33.3723;0;Bottom;Copper Fill40
