*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CAPSICUM
*Date=12:29:02
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;2.11667;-40.5267;90;Bottom;TXT2
103;;;43.4115;-5.00958;-90;Bottom;TXT8
104;;;6.71717;-28.2683;0;Bottom;TXT9
105;;;81.7626;-52.0075;0;Bottom;Copper Fill12
106;;;23.1394;-32.0431;0;Bottom;Copper Fill23
107;;;25.146;-45.4797;0;Bottom;Copper Fill10
108;;;6.66482;-52.8522;90;Bottom;Power plug1
109;;;72.7706;-22.4537;-90;Bottom;IMG6
110;;;72.0491;-21.3711;-90;Bottom;IMG6
111;;;67.4878;-50.5597;0;Bottom;Copper Fill9
112;;;80.6471;-53.1605;-90;Bottom;TXT8
